a;
à;
acerca;
acesso;
adeus;
agora;
aí;
ainda;
alem;
além;
algmas;
algo;
algumas;
alguns;
ali;
ambas;
ambos;
ano;
anos;
antes;
ao;
aonde;
aos;
apenas;
apoio;
apontar;
apos;
após;
aquela;
aquelas;
aquele;
aqueles;
aqui;
aquilo;
área;
as;
às;
assim;
até;
atrás;
através;
b;
baixo;
bastante;
bem;
boa;
boas;
bom;
bons;
breve;
c;
cá;
cada;
caminho;
catorze;
cedo;
cento;
certamente;
certeza;
cima;
cinco;
coisa;
com;
como;
comprido;
conhecido;
conselho;
contra;
contudo;
corrente;
cuja;
cujas;
cujo;
cujos;
custa;
d;
da;
dá;
dão;
daquela;
daquelas;
daquele;
daqueles;
dar;
das;
de;
debaixo;
dela;
delas;
dele;
deles;
demais;
dentro;
depois;
desde;
desligado;
dessa;
dessas;
desse;
desses;
desta;
destas;
deste;
destes;
deve;
devem;
deverá;
dez;
dezanove;
dezasseis;
dezassete;
dezoito;
dia;
diante;
direita;
dispoe;
dispoem;
diversa;
diversas;
diversos;
diz;
dizem;
dizer;
do;
dois;
dos;
doze;
duas;
durante;
dúvida;
e;
é;
ela;
elas;
ele;
eles;
em;
embora;
enquanto;
entao;
então;
entre;
era;
eram;
éramos;
és;
essa;
essas;
esse;
esses;
esta;
está;
estado;
estamos;
estão;
estar;
estará;
estas;
estás;
estava;
estavam;
estávamos;
este;
esteja;
estejam;
estejamos;
estes;
esteve;
estive;
estivemos;
estiver;
estivera;
estiveram;
estivéramos;
estiverem;
estivermos;
estivesse;
estivessem;
estivéssemos;
estiveste;
estivestes;
estou;
eu;
exemplo;
f;
faço;
falta;
fará;
favor;
faz;
fazeis;
fazem;
fazemos;
fazer;
fazes;
fazia;
fez;
fim;
final;
foi;
fomos;
for;
fora;
foram;
fôramos;
forem;
forma;
formos;
fosse;
fossem;
fôssemos;
foste;
fostes;
fui;
g;
geral;
gostar;
gostaria;
gostaríamos;
gosto;
grande;
grandes;
grupo;
h;
ha;
há;
haja;
hajam;
hajamos;
hão;
havemos;
havia;
hei;
hoje;
hora;
horas;
houve;
houvemos;
houver;
houvera;
houverá;
houveram;
houvéramos;
houverão;
houverei;
houverem;
houveremos;
houveria;
houveriam;
houveríamos;
houvermos;
houvesse;
houvessem;
houvéssemos;
i;
informação;
informações;
iniciar;
inicio;
ir;
irá;
isso;
ista;
iste;
isto;
j;
já;
lá;
k;
l;
lado;
lhe;
lhes;
ligado;
local;
logo;
longe;
lugar;
m;
maior;
maioria;
maiorias;
mais;
mal;
mas;
máximo;
me;
mediante;
meio;
menor;
menos;
mês;
meses;
mesma;
mesmas;
mesmo;
mesmos;
meu;
meus;
mil;
minha;
minhas;
momento;
muito;
muitos;
n;
na;
nada;
nao;
não;
naquela;
naquelas;
naquele;
naqueles;
nas;
nem;
nenhuma;
nessa;
nessas;
nesse;
nesses;
nesta;
nestas;
neste;
nestes;
nível;
no;
noite;
nome;
nos;
nós;
nossa;
nossas;
nosso;
nossos;
nova;
novas;
nove;
novo;
novos;
num;
numa;
numas;
número;
nunca;
nuns;
o;
obra;
obrigada;
obrigado;
oitava;
oitavo;
oito;
onde;
ontem;
onze;
os;
ou;
outra;
outras;
outro;
outros;
p;
para;
parece;
parte;
partir;
paucas;
pegar;
pela;
pelas;
pelo;
pelos;
perante;
perto;
pessoas;
pode;
pôde;
podem;
poder;
poderá;
podia;
põe;
põem;
pois;
ponto;
pontos;
por;
porque;
porquê;
portanto;
posição;
possível;
possivelmente;
posso;
pouca;
pouco;
poucos;
povo;
prezados;
primeira;
primeiras;
primeiro;
primeiros;
promeiro;
propios;
própria;
próprias;
proprio;
próprio;
próprios;
próxima;
próximas;
próximo;
próximos;
puderam;
q;
quais;
quáis;
qual;
qualquer;
quando;
quanto;
quarta;
quarto;
quatro;
que;
quê;
quem;
quer;
quereis;
querem;
queremas;
queres;
quero;
questão;
quieto;
quinta;
quinto;
quinze;
r;
relação;
requeiro;
requerimento;
s;
sabe;
sabem;
saber;
são;
se;
segunda;
segundo;
sei;
seis;
seja;
sejam;
sejamos;
sem;
sempre;
sendo;
ser;
será;
serão;
serei;
seremos;
seria;
seriam;
seríamos;
sete;
sétima;
sétimo;
seu;
seus;
sexta;
sexto;
sim;
sistema;
só;
sob;
sobre;
sois;
solicitação;
solicitamos;
solicitar;
solicito;
somente;
somos;
sou;
sua;
suas;
t;
tal;
talvez;
tambem;
também;
tanta;
tantas;
tanto;
tão;
tarde;
te;
tem;
tém;
têm;
temos;
tempo;
tendes;
tenha;
tenham;
tenhamos;
tenho;
tens;
tentar;
tentaram;
tente;
tentei;
ter;
terá;
terão;
terceira;
terceiro;
terei;
teremos;
teria;
teriam;
teríamos;
teu;
teus;
teve;
tinha;
tinham;
tínhamos;
tipo;
tive;
tivemos;
tiver;
tivera;
tiveram;
tivéramos;
tiverem;
tivermos;
tivesse;
tivessem;
tivéssemos;
tiveste;
tivestes;
toda;
todas;
todo;
todos;
trabalhar;
trabalho;
três;
treze;
tu;
tua;
tuas;
tudo;
u;
último;
um;
uma;
umas;
uns;
usa;
usar;
v;
vai;
vais;
valor;
vão;
vários;
veja;
vem;
vêm;
venho;
vens;
ver;
verdade;
VERDADEIRO;
vez;
vezes;
viagem;
vindo;
vinte;
você;
vocês;
vos;
vós;
vossa;
vossas;
vosso;
vossos;
w;
x;
y;
z;
zero;
um;
dois;
três;
quatro;
cinco;
seis;
sete;
oito;
nove;
dez;
0;
1;
2;
3;
4;
5;
6;
7;
8;
9
