a;
à;
acerca;
acesso;
adeus;
agora;
agradeço;
agradeco;
aí;
ai;
ainda;
alem;
além;
algmas;
algo;
algumas;
alguns;
ali;
ambas;
ambos;
ano;
anos;
antes;
ao;
aonde;
aos;
apenas;
apoio;
apontar;
apos;
após;
aquela;
aquelas;
aquele;
aqueles;
aqui;
aquilo;
área;
arquivo;
as;
às;
assim;
até;
ate;
atencao;
atenção;
atenciosamente;
atrás;
atras;
através;
atraves;
b;
baixo;
bastante;
bem;
boa;
boas;
bom;
bons;
brasil;
breve;
c;
cá;
ca;
cada;
caminho;
caso;
catorze;
cedo;
cento;
certamente;
certeza;
cima;
cinco;
coisa;
com;
como;
comprido;
conforme;
conhecido;
conselho;
contra;
contudo;
corrente;
cuja;
cujas;
cujo;
cujos;
custa;
d;
da;
dá;
dado;
dados;
dão;
dao;
daquela;
daquelas;
daquele;
daqueles;
dar;
das;
de;
debaixo;
dela;
delas;
dele;
deles;
demais;
dentro;
depois;
desde;
desligado;
dessa;
dessas;
desse;
desses;
desta;
destas;
deste;
destes;
deve;
devem;
deverá;
dez;
dezanove;
dezasseis;
dezassete;
dezoito;
dia;
diante;
direita;
dispoe;
dispoem;
dissertação;
dissertacao;
diversa;
diversas;
diversos;
diz;
dizem;
dizer;
do;
dois;
dos;
doutorado;
download;
doze;
duas;
durante;
dúvida;
duvida;
e;
é;
ela;
elas;
ele;
eles;
em;
embora;
energia;
energias;
enquanto;
entao;
então;
entre;
enviar;
envio;
epe;
era;
eram;
éramos;
eramos;
és;
es;
essa;
essas;
esse;
esses;
esta;
está;
estado;
estamos;
estão;
estao;
estar;
estará;
estara;
estas;
estás;
estas;
estava;
estavam;
estávamos;
estavamos;
este;
esteja;
estejam;
estejamos;
estes;
esteve;
estive;
estivemos;
estiver;
estivera;
estiveram;
estivéramos;
estiveramos;
estiverem;
estivermos;
estivesse;
estivessem;
estivéssemos;
estivessemos;
estiveste;
estivestes;
estou;
estudante;
eu;
exemplo;
explica;
explicação;
explicado;
f;
faço;
faco;
falta;
fará;
fara;
favor;
faz;
fazeis;
fazem;
fazemos;
fazer;
fazes;
fazia;
fez;
fim;
final;
foi;
fomos;
for;
fora;
foram;
fôramos;
foramos;
forem;
forma;
formato;
formos;
fosse;
fossem;
fôssemos;
fossemos;
foste;
fostes;
fui;
g;
geral;
gostar;
gostaria;
gostaríamos;
gostariamos;
gosto;
grande;
grandes;
grato;
grata;
grupo;
h;
ha;
há;
haja;
hajam;
hajamos;
hão;
hao;
havemos;
havia;
hei;
hoje;
hora;
horas;
houve;
houvemos;
houver;
houvera;
houverá;
houveram;
houvéramos;
houveramos;
houverão;
houverao;
houverei;
houverem;
houveremos;
houveria;
houveriam;
houveríamos;
houveriamos;
houvermos;
houvesse;
houvessem;
houvéssemos;
houvessemos;
i;
informação;
informacao;
informações;
informacoes;
iniciar;
inicio;
ir;
irá;
ira;
isso;
ista;
iste;
isto;
j;
já;
ja;
k;
lá;
la;
l;
lado;
lhe;
lhes;
ligado;
local;
logo;
longe;
lugar;
m;
maior;
maioria;
maiorias;
mais;
mal;
mas;
máximo;
maximo;
me;
mediante;
meio;
menor;
menos;
mês;
mes;
mestre;
mestrado;
ano;
meses;
mesma;
mesmas;
mesmo;
mesmos;
meu;
meus;
mil;
minha;
minhas;
momento;
muito;
muitos;
n;
na;
nada;
nao;
não;
naquela;
naquelas;
naquele;
naqueles;
nas;
nem;
nenhuma;
nessa;
nessas;
nesse;
nesses;
nesta;
nestas;
neste;
nestes;
nível;
nivel;
no;
noite;
nome;
nos;
nós;
nossa;
nossas;
nosso;
nossos;
nova;
novas;
nove;
novo;
novos;
num;
numa;
numas;
número;
numero;
nunca;
nuns;
o;
obra;
obrigada;
obrigado;
oitava;
oitavo;
oito;
onde;
ontem;
onze;
os;
ou;
outra;
outras;
outro;
outros;
p;
para;
parece;
parte;
partir;
paucas;
pegar;
pela;
pelas;
pelo;
pelos;
perante;
pergunta;
pergunto;
perto;
pessoas;
pode;
pôde;
podem;
poder;
poderá;
podera;
poderia;
podia;
põe;
poe;
põem;
poem;
pois;
ponto;
pontos;
por;
porque;
porquê;
portanto;
posição;
posicao;
possa;
possamos;
possibilidade;
possível;
possivel;
possivelmente;
posso;
pouca;
pouco;
poucos;
povo;
prezados;
primeira;
primeiras;
primeiro;
primeiros;
promeiro;
propios;
própria;
propria;
próprias;
proprias;
proprio;
próprio;
próprios;
proprios;
próxima;
proxima;
próximas;
proximas;
próximo;
proximo;
próximos;
proximos;
puderam;
q;
quais;
quáis;
qual;
qualquer;
quando;
quanto;
quarta;
quarto;
quatro;
que;
quê;
quem;
quer;
quereis;
querem;
queremas;
queres;
quero;
questão;
questao;
quieto;
quinta;
quinto;
